symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
ZRO,LayerZero,2025-10-05,2026-07-01,72,122,103,69,141,398577266.79173476,289335903.3210246,819755308.7902068,0.35295398543746664,1000000000.0,352953985.4374667,19,True,2026-07-01,0,False
GWEI,ETHGas,2026-05-10,2026-07-01,41,142,124,99,148,222307137.75906315,204219569.7052486,1166968969.7442777,0.175,10000000000.0,1750000000.0,18,True,2026-07-01,0,False
AWE,AWE,2026-02-01,2026-07-01,53,193,175,147,200,107401781.8084293,99695116.57055905,99695116.57055905,1.0,1942420283.027067,1942420283.0270672,18,True,2026-07-01,0,False
AXS,Axie Infinity,2025-10-05,2026-07-01,72,154,136,114,181,197820722.6385576,168835558.6097072,168835558.6097072,1.0,,173888325.00134403,18,False,2026-07-01,0,False
SKY,Sky,2025-10-05,2026-07-01,72,65,48,39,65,1440155815.1865425,1226441411.7988095,1234199777.38613,0.9937138494679105,23462665147.0,23315175302.001945,17,True,2026-07-01,0,False
BSV,Bitcoin SV,2025-10-05,2026-07-01,72,123,106,97,125,304373504.0350675,270611640.1231881,270611640.1231881,1.0,,20049768.75,17,False,2026-07-01,0,False
YZY,YZY MONEY,2026-02-01,2026-07-01,41,199,184,179,200,91983491.10850637,89200275.13968177,294414043.54254353,0.302975612393952,1000000000.0,302975612.393952,15,True,2026-07-01,0,False
QNT,Quant,2025-10-05,2026-07-01,72,75,60,56,75,878605482.8073771,787987336.4344474,971306291.9837632,0.8112655533457821,14881364.0,12072738.0,15,True,2026-07-01,0,False
RIF,Rootstock Infrastructure Framework,2026-06-05,2026-07-01,14,199,185,168,199,89884676.27921483,88602861.45170891,88602861.45170891,1.0,1000000000.0,1000000000.0,14,True,2026-07-01,0,False
FF,Falcon Finance,2025-10-05,2026-07-01,72,140,126,121,171,218370825.91488042,193848665.73021033,674256228.6268187,0.2875,10000000000.0,2875000000.0,14,True,2026-07-01,0,False
KAITO,KAITO,2025-10-05,2026-07-01,63,162,148,145,196,131806856.93031666,138738776.91345033,574752125.0385735,0.241388889,1000000000.0,241388889.0,14,True,2026-07-01,0,False
ZBCN,Zebec Network,2025-10-05,2026-07-01,72,132,118,99,158,268742585.8874771,214883545.31138697,214886176.60946697,0.9999877549215984,100000000000.0,99998775492.15985,14,True,2026-07-01,0,False
CC,Canton,2025-11-16,2026-07-01,66,29,15,13,36,5675971594.861641,5648355219.326261,5648355219.326261,1.0,,38957350220.14644,14,False,2026-07-01,0,False
XMR,Monero,2025-10-05,2026-07-01,72,26,14,12,26,6670957393.070749,5824056923.334844,5824056923.334844,1.0,,18772049.34108264,12,False,2026-07-01,0,False
VIRTUAL,Virtuals Protocol,2025-10-05,2026-07-01,72,106,94,69,116,474848499.3304683,346025659.90285057,526606882.9396629,0.6570853346451554,1000000000.0,657085334.6451555,12,True,2026-07-01,0,False
BTT,BitTorrent [New],2025-10-05,2026-07-01,72,120,108,97,120,326375874.8019429,257871602.13070542,257871602.13070542,1.0,,987037885840674.8,12,False,2026-07-01,0,False
KMNO,Kamino Finance,2025-10-05,2026-07-01,45,189,179,150,200,133853638.87273413,96270198.47481981,194109213.683497,0.4959589328500001,10000000000.0,4959589328.5,10,True,2026-07-01,0,False
BAT,Basic Attention Token,2025-10-12,2026-07-01,71,169,159,109,169,182013399.41016933,117352083.47800191,117687519.82443288,0.9971497713017372,1500000000.0,1495724656.9526057,10,True,2026-07-01,0,False
NEXO,Nexo,2025-10-05,2026-07-01,72,92,82,73,92,557482475.0082561,461043631.63282365,713528747.5290382,0.6461458395746847,1000000000.0,646145839.5746847,10,True,2026-07-01,0,False
LEO,UNUS SED LEO,2025-10-05,2026-07-01,72,20,11,11,20,8769307231.492966,8505483647.6670265,8505483647.6670265,1.0,,920279144.9,9,False,2026-07-01,0,False
HOME,Defi App,2026-02-01,2026-06-26,35,200,192,132,200,115996324.69029152,79405461.35537429,204399861.35921472,0.38848099420099996,10000000000.0,3884809942.01,8,True,2026-06-26,5,False
