symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped
QNT,Quant,2024-06-02,2026-05-24,104,81,61,56,93,1033840224.5998667,962890931.014921,1186899809.8635066,0.8112655533457819,14881364.0,12072738.0,20,True
ONDO,Ondo,2024-06-02,2026-05-24,104,58,39,28,72,2056184320.4135165,2083671947.4957862,2083671947.4957862,1.0,,4869330647.0,19,False
XLM,Stellar,2024-06-02,2026-05-24,104,36,19,12,38,7652844196.463792,4974431970.7939,7418559376.354725,0.6705388092800031,50001806812.0,33528152001.56723,17,True
SFP,SafePal,2024-06-02,2026-05-24,101,184,169,129,199,257102604.3009488,141582993.64773697,141582993.64773697,1.0,500000000.0,500000000.0,15,True
RAY,Raydium,2024-06-02,2026-05-24,104,153,139,54,154,658468907.5217296,206886694.9088966,426883001.69306856,0.4846449591301585,555000000.0,268977952.317238,14,True
H,Humanity Protocol,2025-10-26,2026-05-24,30,91,77,71,185,379717228.42424077,576385210.5596501,2113789901.4225583,0.2726785714,10000000000.0,2726785714.0,14,True
ATH,Aethir,2024-12-01,2026-05-24,78,193,180,91,198,292294942.69532764,129254845.55201648,269698792.8942536,0.47925629983333334,42000000000.0,20128764593.0,13,True
SKY,Sky,2025-06-01,2026-05-24,52,57,44,39,66,1565843526.4203584,1626622191.466863,1643100404.918408,0.9899712680964476,23462665147.0,23227364368.497913,13,True
AAVE,Aave,2024-06-02,2026-05-24,104,64,51,27,67,2866406145.638313,1331963422.9665575,1331963422.9665575,1.0,16000000.0,15402392.59434909,13,True
TAO,Bittensor,2024-06-02,2026-05-24,104,44,32,22,49,3060829555.557475,3062269942.7286873,5881331889.818964,0.5206762685897239,21000000.0,10934201.6403842,12,True
HYPE,Hyperliquid,2024-12-22,2026-05-24,75,22,10,10,28,10390525298.128532,15276854527.823664,57815914065.01969,0.2642326905122236,961671487.86,254105044.62614098,12,True
