symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale,rank_range
ALGO,Algorand,2024-06-02,2026-05-30,110,65,53,36,70,1575290768.9077067,1218825247.1987767,1366590448.1391323,0.8918730910628232,10000000000.0,8918730910.628233,12,True,2026-05-30,0,False,34
POL,POL (ex-MATIC),2024-09-08,2026-05-30,96,33,60,27,61,2168939322.624686,973079809.0639242,973079809.0639242,1.0,,10652087285.809841,-27,False,2026-05-30,0,False,34
PEPE,Pepe,2024-06-02,2026-05-30,110,20,49,15,50,3782925611.455539,1421384592.1455173,1421384592.145517,1.0,413772485432296.0,413772485432296.0,-29,True,2026-05-30,0,False,35
GAS,Gas,2024-07-14,2026-05-30,84,192,199,165,200,189571009.6780616,94676507.76651564,94676507.76651564,1.0,,64992331.0,-7,False,2026-05-30,0,False,35
QNT,Quant,2024-06-02,2026-05-30,110,81,62,56,93,1027027053.908791,872128677.3356699,1075022443.3157294,0.8112655533457821,14881364.0,12072738.0,19,True,2026-05-30,0,False,37
HBAR,Hedera,2024-06-02,2026-05-30,110,28,22,12,49,6038780462.654744,4617232041.439319,5322639619.010747,0.8674703477853468,50000000000.0,43373517389.26734,6,True,2026-05-30,0,False,37
XMR,Monero,2024-06-02,2026-05-30,110,41,15,12,51,5204763227.837306,7610202078.490935,7610202078.490935,1.0,,18446744.07370955,26,False,2026-05-30,0,False,39
SUI,Sui,2024-06-02,2026-05-30,110,46,27,11,50,7307263502.28806,3674907168.9957123,9174839754.363186,0.4005418369566699,10000000000.0,4005418369.566699,19,True,2026-05-30,0,False,39
COMP,Compound,2024-06-02,2026-05-30,110,148,148,112,151,380650186.6036424,178016656.6669448,178016656.6669448,1.0,10000000.0,9986451.7827232,0,True,2026-05-30,0,False,39
XTZ,Tezos,2024-06-02,2026-05-30,110,90,103,66,106,699274871.3170022,347890663.25625736,347890663.25625736,1.0,,1086392556.05262,-13,False,2026-05-30,0,False,40
AAVE,Aave,2024-06-02,2026-05-30,110,64,52,27,67,2780397969.675438,1286772707.4644456,1286772707.4644456,1.0,16000000.0,15405751.28638064,12,True,2026-05-30,0,False,40
BGB,Bitget Token,2024-06-02,2026-05-30,110,59,50,20,60,3316666051.451495,1388992794.2976096,1828340675.7975621,0.759701303309735,919992035.98,698919148.7685826,9,True,2026-05-30,0,False,40
FIL,Filecoin,2024-06-02,2026-05-30,110,30,68,29,69,1767224756.8700314,772479318.5272822,772479318.5272822,1.0,,786607218.0,-38,False,2026-05-30,0,False,40
KCS,KuCoin Token,2024-06-02,2026-05-30,110,88,54,47,88,1298253750.5435836,1072582523.3332593,1593082098.9945338,0.6732751086778357,200000000.0,134655021.73556715,34,True,2026-05-30,0,False,41
KAS,Kaspa,2024-06-02,2026-05-30,110,29,63,21,64,2316156524.518851,861663678.0348214,900279959.5765554,0.9571063632696022,28704026601.0,27472806511.27703,-34,True,2026-05-30,0,False,43
ARB,Arbitrum,2024-06-02,2026-05-30,110,32,73,32,76,1820609308.2793603,660398574.4075723,660398574.4075723,1.0,,6255821492.0,-41,False,2026-05-30,0,False,44
ONDO,Ondo,2024-06-02,2026-05-30,110,58,42,28,72,2047994068.2420504,1718965181.6650836,1718965181.6650836,1.0,,4869330647.0,16,False,2026-05-30,0,False,44
RENDER,Render,2024-07-28,2026-05-30,102,34,57,29,73,1900764416.6567898,1029493960.9247302,1278412463.612452,0.8052909293575372,644168762.0,518743261.01407415,-23,True,2026-05-30,0,False,44
JUP,Jupiter,2024-06-02,2026-05-30,110,66,75,45,92,1158773158.900084,630820559.0571693,1304228854.1822746,0.4836732119783389,6864785739.32,3320312968.08,-9,True,2026-05-30,0,False,47
SEI,Sei,2024-06-02,2026-05-30,110,67,85,49,96,1154023635.8482065,484989288.62417096,683404352.2823832,0.7096666666,10000000000.0,7096666666.0,-18,True,2026-05-30,0,False,47
QTUM,Qtum,2024-06-02,2026-04-19,97,189,197,152,199,230603902.19173214,93893469.23254038,95500854.9941019,0.9831688861669271,107822406.0,106007635.0,-8,True,2026-04-19,41,True,47
FLR,Flare,2024-06-02,2026-05-30,110,75,72,55,102,1062100992.6174967,672760154.799452,672760154.799452,1.0,,86389229996.09161,3,False,2026-05-30,0,False,47
NEXO,Nexo,2024-06-02,2026-05-30,110,105,79,73,121,697159420.5409117,545944087.4856839,844923938.2939353,0.6461458395746847,1000000000.0,646145839.5746847,26,True,2026-05-30,0,False,48
